963,野上 豊一郎
800,水上 滝太郎
669,戸川 秋骨
526,木下 利玄
603,白鳥 庫吉
1029,デカルト ルネ
1026,関 寛
1028,イプセン ヘンリック
599,島村 抱月
1030,堀 辰雄
1034,浅野 和三郎
1035,モーゼス ウィリアム・ステイントン
684,内藤 鳴雪
1036,フィッツジェラルド フランシス・スコット
1021,井上 円了
606,杉田 久女
1044,ド・ラ・ラメー マリー・ルイーズ
1045,バーネット フランシス・ホジソン・エリザ
649,田中 正造
1049,ファーブル ジャン・アンリ
1051,蒲  松齢
1053,峠 三吉
1052,久坂 葉子
510,河東 碧梧桐
1054,浜田 青陵
1055,蒲原 有明
1062,ストリンドベリ アウグスト
1037,原 勝郎
1058,ホフマン エルンスト・テオドーア・アマーデウス
1078,瞿 佑
1057,陳 玄祐
1059,斎藤 茂吉
655,田村 俊子
1216,井原 西鶴
1075,タゴール ラビンドラナート
1300,ケネディ パトリック
1299,ハイド ダグラス
801,三宅 幾三郎
1065,高田 力
636,竹内 勝太郎
1068,釈 迢空
1073,高田 保
1074,水谷 まさる
888,スティーブンソン ロバート・ルイス
1076,高良 とみ
1562,吉川 英治
1077,郡 虎彦
1080,藪野 椋十
1081,土井 晩翠
492,片上 伸
1061,中山 省三郎
1082,相馬 泰三
1083,矢崎 嵯峨の舎
1084,寺島 柾史
677,富田 木歩
1087,デフォー ダニエル
1088,プーシキン アレクサンドル・セルゲーヴィチ
1089,リットン エドワード・ジョージ・アール・ブルワー
1090,オルコット ルイーザ・メイ
1092,グリム ヴィルヘルム・カール
1091,グリム ヤーコプ・ルートヴィッヒ・カール
692,中島 孤島
843,山田 美妙
906,豊島 与志雄
1093,ロラン ロマン
1094,ユゴー ヴィクトル
1095,坂口 安吾
1096,榊 亮三郎
1097,下村 湖人
1011,波多野 精一
1119,岩波 茂雄
1120,須川 邦彦
264,シェークスピア ウィリアム
1111,ブロンテ シャーロット
1137,婦人文化研究会 
1121,ルブラン モーリス
1047,マロ エクトール・アンリ
258,小泉 八雲
1122,戸川 明三
1123,チェスタートン ギルバート・キース
1125,井上 紅梅
1124,魯迅 
1127,狩野 直喜
1128,文部省 
1131,新青年編輯局 
1132,平山 蘆江
1133,三田村 鳶魚
1134,ペロー シャルル
1135,ド・ヴィルヌーヴ ガブリエル=シュザンヌ・バルボ
922,末弘 厳太郎
1581,正宗 白鳥
1141,沢田 正二郎
1142,酒井 嘉七
1143,西尾 正
837,山路 愛山
1117,マクドナルド ジョージ
1144,クラウフォード フランシス・マリオン
1145,ストックトン フランシス・リチャード
1146,清水 紫琴
1147,相馬 愛蔵
1148,相馬 黒光
457,大槻 文彦
957,鈴木 梅太郎
1159,佐野 昌一
1149,マルサス トマス・ロバート
1150,吉田 秀夫
1151,久米 正雄
1153,長岡 半太郎
1154,岸田 国士
1157,神西 清
1155,チェーホフ アントン
1156,ルナール ジュール
1158,ビョルンソン ビョルンステェルネ
1160,池田 菊苗
1161,鳥谷部 春汀
1162,秋田 滋
1163,仁科 芳雄
1164,リカード デイヴィッド
718,新渡戸 稲造
1166,中井 正一
1167,日野 強
577,佐藤 惣之助
1168,高村 光太郎
1170,石川 三四郎
911,ささき ふさ
1203,ワタナベ オン
1176,シェリー メアリー・ウォルストンクラフト
1186,宍戸 儀一
276,知里 幸恵
1172,村山 籌子
1651,古川 アヤ
1589,落合 ユキ子
1759,実吉 捷郎
1178,テーラー ジェーン
1179,土田 耕平
1180,沖野 岩三郎
1181,ドーデ アルフォンス
1184,手塚 寿郎
1185,ワルラス マリー・エスプリ・レオン
1189,ジェファーソン トマス
1196,ランド ハンス
1197,伊東 静雄
